CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
CHLD 28612 479.613281 1691762322.7989
CHLD 28613 500.898438 1691762322.7989
CHLD 28614 458.312500 1691762322.7989
MEM 2789.394531 1691762322.9073
CHLD 28608 52.062500 1691762322.9147
CHLD 28609 12.582031 1691762322.9148
CHLD 28610 296.515625 1691762322.9148
CHLD 28611 500.597656 1691762322.9148
CHLD 28612 458.195312 1691762322.9149
CHLD 28613 458.105469 1691762322.9149
CHLD 28614 479.546875 1691762322.9149
MEM 2832.105469 1691762323.0231
CHLD 28608 52.062500 1691762323.0408
CHLD 28609 12.582031 1691762323.0409
CHLD 28610 296.515625 1691762323.0409
CHLD 28611 500.597656 1691762323.0409
CHLD 28612 479.613281 1691762323.0410
CHLD 28613 479.398438 1691762323.0410
CHLD 28614 479.546875 1691762323.0410
MEM 2832.250000 1691762323.1497
CHLD 28608 52.062500 1691762323.1688
CHLD 28609 12.582031 1691762323.1688
CHLD 28610 296.515625 1691762323.1689
CHLD 28611 500.597656 1691762323.1690
CHLD 28612 500.992188 1691762323.1690
CHLD 28613 479.398438 1691762323.1690
CHLD 28614 458.312500 1691762323.1691
MEM 2713.250000 1691762323.2773
CHLD 28608 52.062500 1691762323.2881
CHLD 28609 12.582031 1691762323.2881
CHLD 28610 296.515625 1691762323.2882
CHLD 28611 500.597656 1691762323.2882
CHLD 28612 296.769531 1691762323.2883
CHLD 28613 500.898438 1691762323.2883
CHLD 28614 479.546875 1691762323.2883
MEM 2649.472656 1691762323.3969
CHLD 28608 52.062500 1691762323.4047
CHLD 28609 12.582031 1691762323.4047
CHLD 28610 296.515625 1691762323.4048
CHLD 28611 500.597656 1691762323.4048
CHLD 28612 296.769531 1691762323.4048
CHLD 28613 479.359375 1691762323.4049
CHLD 28614 479.546875 1691762323.4050
MEM 2670.972656 1691762323.5144
CHLD 28608 52.062500 1691762323.5247
CHLD 28609 12.582031 1691762323.5248
CHLD 28610 296.515625 1691762323.5252
CHLD 28611 500.597656 1691762323.5254
CHLD 28612 296.769531 1691762323.5255
CHLD 28613 494.648438 1691762323.5257
CHLD 28614 501.046875 1691762323.5262
MEM 2285.089844 1691762323.6356
CHLD 28608 52.062500 1691762323.6418
CHLD 28609 12.582031 1691762323.6420
CHLD 28610 296.515625 1691762323.6420
CHLD 28611 296.761719 1691762323.6421
CHLD 28612 296.769531 1691762323.6422
CHLD 28613 500.898438 1691762323.6422
CHLD 28614 296.960938 1691762323.6423
MEM 2081.191406 1691762323.7476
CHLD 28608 52.062500 1691762323.7523
CHLD 28609 12.582031 1691762323.7524
CHLD 28610 296.515625 1691762323.7524
CHLD 28611 296.761719 1691762323.7524
CHLD 28612 296.769531 1691762323.7524
CHLD 28613 296.750000 1691762323.7524
CHLD 28614 296.960938 1691762323.7525
MEM 2498.437500 1691762323.8665
CHLD 28608 52.062500 1691762323.8827
CHLD 28609 12.582031 1691762323.8828
CHLD 28610 373.011719 1691762323.8828
CHLD 28611 373.207031 1691762323.8828
CHLD 28612 405.968750 1691762323.8828
CHLD 28613 373.207031 1691762323.8829
CHLD 28614 428.484375 1691762323.8829
MEM 2879.351562 1691762323.9984
CHLD 28608 52.062500 1691762324.0177
CHLD 28609 12.582031 1691762324.0177
CHLD 28610 491.132812 1691762324.0177
CHLD 28611 448.816406 1691762324.0177
CHLD 28612 470.222656 1691762324.0178
CHLD 28613 448.761719 1691762324.0178
CHLD 28614 470.363281 1691762324.0178
MEM 2969.488281 1691762324.1302
CHLD 28608 52.062500 1691762324.1601
CHLD 28609 12.582031 1691762324.1601
