CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
CHLD 25957 12.582031 1691760752.5807
CHLD 25958 477.609375 1691760752.5807
CHLD 25959 492.789062 1691760752.5808
CHLD 25960 492.312500 1691760752.5808
CHLD 25961 492.945312 1691760752.5809
MEM 2568.949219 1691760752.6972
CHLD 25956 51.957031 1691760752.7044
CHLD 25957 12.582031 1691760752.7045
CHLD 25958 492.734375 1691760752.7045
CHLD 25959 492.789062 1691760752.7045
CHLD 25960 492.312500 1691760752.7045
CHLD 25961 492.945312 1691760752.7046
MEM 2568.949219 1691760752.8116
CHLD 25956 51.957031 1691760752.8194
CHLD 25957 12.582031 1691760752.8194
CHLD 25958 492.734375 1691760752.8194
CHLD 25959 492.789062 1691760752.8195
CHLD 25960 492.312500 1691760752.8195
CHLD 25961 492.945312 1691760752.8195
MEM 2578.699219 1691760752.9378
CHLD 25956 51.957031 1691760752.9441
CHLD 25957 12.582031 1691760752.9442
CHLD 25958 492.734375 1691760752.9442
CHLD 25959 492.789062 1691760752.9442
CHLD 25960 502.062500 1691760752.9442
CHLD 25961 492.945312 1691760752.9443
MEM 2588.449219 1691760753.0509
CHLD 25956 51.957031 1691760753.0572
CHLD 25957 12.582031 1691760753.0572
CHLD 25958 492.734375 1691760753.0572
CHLD 25959 492.789062 1691760753.0573
CHLD 25960 502.062500 1691760753.0573
CHLD 25961 502.695312 1691760753.0573
MEM 2588.449219 1691760753.1666
CHLD 25956 51.957031 1691760753.1828
CHLD 25957 12.582031 1691760753.1828
CHLD 25958 492.734375 1691760753.1828
CHLD 25959 492.789062 1691760753.1828
CHLD 25960 502.062500 1691760753.1829
CHLD 25961 502.695312 1691760753.1829
MEM 2598.207031 1691760753.2897
CHLD 25956 51.957031 1691760753.2990
CHLD 25957 12.582031 1691760753.2991
CHLD 25958 492.734375 1691760753.2991
CHLD 25959 502.546875 1691760753.2991
CHLD 25960 502.062500 1691760753.2991
CHLD 25961 502.695312 1691760753.2992
MEM 2598.207031 1691760753.4083
CHLD 25956 51.957031 1691760753.4270
CHLD 25957 12.582031 1691760753.4271
CHLD 25958 502.562500 1691760753.4271
CHLD 25959 502.546875 1691760753.4271
CHLD 25960 502.062500 1691760753.4271
CHLD 25961 502.695312 1691760753.4272
MEM 2608.035156 1691760753.5358
CHLD 25956 51.957031 1691760753.5503
CHLD 25957 12.582031 1691760753.5503
CHLD 25958 502.562500 1691760753.5516
CHLD 25959 502.546875 1691760753.5516
CHLD 25960 502.062500 1691760753.5517
CHLD 25961 502.695312 1691760753.5517
MEM 2608.035156 1691760753.6588
CHLD 25956 51.957031 1691760753.6652
CHLD 25957 12.582031 1691760753.6652
CHLD 25958 502.562500 1691760753.6653
CHLD 25959 502.546875 1691760753.6653
CHLD 25960 502.062500 1691760753.6653
CHLD 25961 502.695312 1691760753.6653
MEM 2608.035156 1691760753.7722
CHLD 25956 51.957031 1691760753.7876
CHLD 25957 12.582031 1691760753.7877
CHLD 25958 502.562500 1691760753.7877
CHLD 25959 502.546875 1691760753.7877
CHLD 25960 502.062500 1691760753.7878
CHLD 25961 502.695312 1691760753.7878
MEM 2608.035156 1691760753.8968
CHLD 25956 51.957031 1691760753.9035
CHLD 25957 12.582031 1691760753.9035
CHLD 25958 502.562500 1691760753.9035
CHLD 25959 502.546875 1691760753.9035
CHLD 25960 502.062500 1691760753.9036
CHLD 25961 502.695312 1691760753.9036
