"","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"C2orf43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00185324987568586,-0.0079136589683381,-0.0116779752765469,-0.00591930583766823,0,0,0,0,0,0,0,0,0,0,0,0
"C3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208552120382959,-0.0401735487078482,-0.0540715312104874,-0.0661946021874944,-0.0753159588606465,-0.0825784848349848,-0.090881107338301,-0.101183244181869,-0.111733822093176,-0.124856461074284,-0.139620544168938,-0.15605469903114,-0.175276910121113
"C3orf38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4BPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5orf15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000492230078350026,-0.0134620251411599,-0.0311056628158329,-0.0505356708031387,-0.0713554458581447,-0.0892223529238753,-0.106924168361078,-0.120687003632276,-0.132330404695555,-0.143200834502992,-0.150147562544301,-0.152084685798332,-0.152579558721077,-0.152344455179639,-0.151796672315292
"C5orf22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5orf28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00835495670569997,-0.0219289404993833,-0.0292856585316267,-0.0296359077750244,-0.0408935140199492,-0.0492514860789684,-0.05593397331434,-0.0556589221944669,-0.0559867427509853,-0.0579990744752214,-0.0618749624976078,-0.0669632457691149,-0.0736512558960052,-0.0827477727451945,-0.0900812549940423,-0.0993537143897621,-0.110111292944007,-0.121120535600716,-0.132561358936664
"C5orf51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00160667291737205,-0.0278411904276144,-0.0492850713466882,-0.0715178223234581,-0.0912829172887767,-0.105334334676277,-0.126711391333612,-0.147336080798779,-0.170994822472929,-0.19582936677743,-0.220568551107816,-0.249029313334133,-0.281707987057559,-0.315322536262451,-0.349313789708516,-0.377120753392728,-0.407029941823777,-0.436032273304061,-0.464571091297798,-0.493289786092439
"C6orf211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C6orf222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325748205212248,0.0142455878492991,0.0204451850547304,0.0291976978929046,0.0417273859807891,0.0566755996297129,0.0667142903542143,0.0790857978742762,0.0898946660926425,0.100942170076877,0.105220134519026,0.109957059242675,0.11851177865481,0.13536684590398,0.158153870970092,0.185223049572873,0.21508120777024,0.247411155713787,0.280014540167103,0.311121398019125,0.344991057642214,0.380115010886004,0.418117744687689,0.457003034688842
"C7orf25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C8orf4",0,0,0,0,0,0,0,0,0.0274952956037547,0.151691675083203,0.216330149610493,0.254483624401749,0.275660335039482,0.290719872580729,0.304334697452339,0.316606633228943,0.306250954125291,0.286915622697216,0.271568707243233,0.278716507376237,0.289790928593285,0.303381955962695,0.319664232800014,0.336213640676261,0.350737258171768,0.358521467632867,0.404825863081444,0.419821742915711,0.455903204898773,0.493902282764701,0.534851495064413,0.57306253343482,0.619735853505521,0.674845172514216,0.736544400315394,0.802182523818014,0.855289939379095,0.912800114406746,0.974610203752747,1.03862417078095,1.10732273484241
"CA12",0,0,0,0,0,0,0,0,0,0.00580313761732146,0.0686859608802476,0.104594824028467,0.129943994353542,0.150639625044473,0.169310201452482,0.186781273573608,0.206169979716598,0.223681873410949,0.247599973159224,0.275879317852063,0.307303921841753,0.33906533667929,0.376712503393319,0.412176771948522,0.462775449188606,0.509327171798403,0.575637533542486,0.618860707922108,0.676544945204497,0.745639055116588,0.822367084929429,0.893057502127122,0.968069554214891,1.04728942114065,1.13255522489832,1.22092719184851,1.30029563612035,1.38768524227288,1.48054511773505,1.57982104896122,1.68196785594833
"CALCOCO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564024975934083,0.0160795504180442,0.0301799326880733,0.0464217899774828
"CALU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000302212122542962,-0.00196440684132596,-0.00328262626070451,-0.00879070121563073,-0.0167296862078422,-0.0254158595791562,-0.031453776299328
"CAPN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAPRIN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161902032612896,0.00521166903387872,0.0119055413351492,0.0188807421311302,0.0284399908140367,0.0409755664084788,0.0557269891774935,0.0712363767620275,0.0882292186830892
"CAPZA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000601114079987108,-0.00280525277654819,-0.00425760447036417,-0.00499478862794346,-0.00680313888027073,-0.00743981550447897,-0.00764770851215973,-0.00779819668414847,-0.0090531679349613
"CASC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00936594836762443,-0.0346446570357456,-0.0574262313906485,-0.0678068913626563,-0.0737302060628094,-0.0784445546240116,-0.0793170172985647,-0.0804904822710863,-0.0817577360454023,-0.0864718369978559,-0.0942244713273998,-0.103507330674371,-0.118322914014004,-0.1400509130771,-0.168459078867101,-0.202828250654445,-0.241505910234828
"CASP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBLL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0062041819100541,-0.0182422783234461,-0.0313329038196937,-0.0446340890954846,-0.0561595811739578,-0.066959688984609,-0.079737520472302,-0.0914829907265091,-0.101008758023779,-0.107937051848618
"CCBL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148605490741011,0.0170339086166226,0.00927488733127113,0,0,0,0,0,0,0,0,0.00974945571005773,0.0311706090719017,0.0574881306825031,0.0884366260577361,0.118940700991792,0.152401935457862,0.187924637873802,0.225127352033637,0.262807955576608
"CCDC132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274367813214986,0.00108144188104473,0.00162652648086482
